,global_rmsd,chromophore_rmsd,holo_mean_plddt,apo_mean_plddt,mean_plddt_diff,chromophore_holo_plddt,chromophore_apo_plddt,chromophore_plddt_diff,holo_ptm,apo_ptm,holo_iptm,holo_ranking_score,apo_ranking_score,holo_mean_pae,apo_mean_pae,pae_diff
global_rmsd,1.0,0.5298082067239325,-0.415460725511838,-0.6565656082966578,0.32602217670412764,-0.30825539124989126,-0.2713692654417456,0.055473558934060196,-0.45042901951787534,-0.5605104013061515,-0.023909031138510787,0.04228742169804771,-0.02798223024018211,0.4620751079172776,0.6331672096422032,-0.1900738544890902
chromophore_rmsd,0.5298082067239325,1.0,-0.5650774109461243,-0.6067061173979423,0.11299565024704393,-0.4422842224154727,-0.6574718222665823,0.4761734672020692,-0.5534249501281715,-0.7677538811326775,-0.04930470119326975,0.00965803880783377,-0.2880122358129169,0.5890016415079189,0.7970103257801557,-0.22792032851343608
holo_mean_plddt,-0.415460725511838,-0.5650774109461243,1.0,0.5886265000645448,0.35984234503661444,0.6272135924243812,0.5609007407839358,-0.12580120956619506,0.8793897624304671,0.6996307501581124,0.5925653677766743,0.5431246911904427,0.5045458019233554,-0.914050283425131,-0.6956826517593284,-0.41746461894015685
apo_mean_plddt,-0.6565656082966578,-0.6067061173979423,0.5886265000645448,1.0,-0.5424398482098989,0.35412975813858827,0.42232791255683555,-0.22728519833998007,0.49497770448657247,0.7466008404490757,0.1101183348171934,0.047313014387279216,0.3640115903339779,-0.5177984219517975,-0.8073074999650806,0.35233833783070284
mean_plddt_diff,0.32602217670412764,0.11299565024704393,0.35984234503661444,-0.5424398482098989,1.0,0.24308488731561267,0.09546231410730416,0.13158643747664517,0.34258805133323567,-0.1346259841572222,0.4887019254929194,0.5098093381362024,0.10420349025578379,-0.35226895137288733,0.20879286477125034,-0.8404772107728058
chromophore_holo_plddt,-0.30825539124989126,-0.4422842224154727,0.6272135924243812,0.35412975813858827,0.24308488731561267,1.0,0.737161092085374,0.031823381687973634,0.5578005012926628,0.42886050281494587,0.50691375082454,0.4812462212436876,0.23447984140734432,-0.5670507016173308,-0.44022166509251137,-0.24667111341130726
chromophore_apo_plddt,-0.2713692654417456,-0.6574718222665823,0.5609007407839358,0.42232791255683555,0.09546231410730416,0.737161092085374,1.0,-0.6519158404357878,0.6039130755495418,0.6271034257119729,0.3478312219912741,0.3200557600626406,0.47121290611160366,-0.6035317365344243,-0.6013882905340696,-0.07323625649570197
chromophore_plddt_diff,0.055473558934060196,0.4761734672020692,-0.12580120956619506,-0.22728519833998007,0.13158643747664517,0.031823381687973634,-0.6519158404357878,1.0,-0.2673188686677958,-0.44631788606492384,0.054361885612913545,0.06664206837690126,-0.43386534750087835,0.2563742097887981,0.3955315669032545,-0.16848680078106593
holo_ptm,-0.45042901951787534,-0.5534249501281715,0.8793897624304671,0.49497770448657247,0.34258805133323567,0.5578005012926628,0.6039130755495418,-0.2673188686677958,1.0,0.7963993652337951,0.527384559409536,0.4704255980956086,0.609019314557027,-0.9897424813466925,-0.7606052798537493,-0.44161315116010325
apo_ptm,-0.5605104013061515,-0.7677538811326775,0.6996307501581124,0.7466008404490757,-0.1346259841572222,0.42886050281494587,0.6271034257119729,-0.44631788606492384,0.7963993652337951,1.0,0.11607381570394947,0.04265190608394932,0.6619326245309409,-0.8033382814772322,-0.9855748072688403,0.1662707909417732
holo_iptm,-0.023909031138510787,-0.04930470119326975,0.5925653677766743,0.1101183348171934,0.4887019254929194,0.50691375082454,0.3478312219912741,0.054361885612913545,0.527384559409536,0.11607381570394947,1.0,0.9925665338376086,0.20424608760542562,-0.5207369677774,-0.11028692305096521,-0.6454456662351062
holo_ranking_score,0.04228742169804771,0.00965803880783377,0.5431246911904427,0.047313014387279216,0.5098093381362024,0.4812462212436876,0.3200557600626406,0.06664206837690126,0.4704255980956086,0.04265190608394932,0.9925665338376086,1.0,0.1797754980080715,-0.46294458404944633,-0.033767252759954125,-0.6654116618500211
apo_ranking_score,-0.02798223024018211,-0.2880122358129169,0.5045458019233554,0.3640115903339779,0.10420349025578379,0.23447984140734432,0.47121290611160366,-0.43386534750087835,0.609019314557027,0.6619326245309409,0.20424608760542562,0.1797754980080715,1.0,-0.6002677306545994,-0.5714793358297988,-0.11082577353249408
holo_mean_pae,0.4620751079172776,0.5890016415079189,-0.914050283425131,-0.5177984219517975,-0.35226895137288733,-0.5670507016173308,-0.6035317365344243,0.2563742097887981,-0.9897424813466925,-0.8033382814772322,-0.5207369677774,-0.46294458404944633,-0.6002677306545994,1.0,0.7754262722542221,0.436302995732759
apo_mean_pae,0.6331672096422032,0.7970103257801557,-0.6956826517593284,-0.8073074999650806,0.20879286477125034,-0.44022166509251137,-0.6013882905340696,0.3955315669032545,-0.7606052798537493,-0.9855748072688403,-0.11028692305096521,-0.033767252759954125,-0.5714793358297988,0.7754262722542221,1.0,-0.22984709188747288
pae_diff,-0.1900738544890902,-0.22792032851343608,-0.41746461894015685,0.35233833783070284,-0.8404772107728058,-0.24667111341130726,-0.07323625649570197,-0.16848680078106593,-0.44161315116010325,0.1662707909417732,-0.6454456662351062,-0.6654116618500211,-0.11082577353249408,0.436302995732759,-0.22984709188747288,1.0
